sample_num,input_size,runtime
1,128,1.563801
2,128,0.7318
3,128,0.6456999999999999
4,128,0.5637
5,128,0.5967009999999999
6,128,0.509101
7,128,0.536899
8,128,0.5574
9,128,0.414499
10,128,0.2171
1,256,0.5102
2,256,0.46739899999999995
3,256,0.475499
4,256,0.47069999999999995
5,256,0.47309999999999997
6,256,0.46839899999999995
7,256,0.47169999999999995
8,256,0.4623
9,256,0.4759
10,256,0.4603
1,512,2.608101
2,512,1.8498999999999999
3,512,1.4899989999999999
4,512,1.2717
5,512,1.2533999999999998
6,512,1.335501
7,512,1.419401
8,512,1.302
9,512,1.6702
10,512,1.723499
1,1024,4.372201
2,1024,5.524198999999999
3,1024,5.7101999999999995
4,1024,5.8793999999999995
5,1024,5.297101
6,1024,5.218501
7,1024,5.1644
8,1024,6.441999
9,1024,5.116299
10,1024,4.979299999999999
1,2048,24.5184
2,2048,19.384598999999998
3,2048,18.637999999999998
4,2048,18.263101
5,2048,18.171
6,2048,18.0368
7,2048,17.7528
8,2048,17.920401
9,2048,17.9366
10,2048,17.6115
1,4096,75.35379999999999
2,4096,72.3013
3,4096,72.135899
4,4096,78.86
5,4096,86.64089899999999
6,4096,98.212201
7,4096,72.86840099999999
8,4096,69.8702
9,4096,71.4247
10,4096,70.8111
1,8192,360.659
2,8192,340.93830099999997
3,8192,385.5668
4,8192,389.71480099999997
5,8192,415.29749999999996
6,8192,439.9335
7,8192,352.05220099999997
8,8192,372.81649999999996
9,8192,384.53139999999996
10,8192,352.120999
1,16384,2160.1052999999997
2,16384,2116.6902999999998
3,16384,1993.293
4,16384,2207.7607
5,16384,2092.4563009999997
6,16384,2156.2086
7,16384,2009.2165
8,16384,1946.1477
9,16384,1980.6918999999